0,1
Datasets\IAM_Sentences\sentences\c02\c02-078\c02-078-s01-00.png,Much of it has
Datasets\IAM_Sentences\sentences\g06\g06-109\g06-109-s01-02.png,"Calais , and from thence by easy stages to"
Datasets\IAM_Sentences\sentences\a04\a04-054\a04-054-s03-01.png,to oppose the Polaris depot ship .
Datasets\IAM_Sentences\sentences\r03\r03-007\r03-007-s01-03.png,"day , choose one , make an offer , put it in"
Datasets\IAM_Sentences\sentences\a02\a02-046\a02-046-s02-02.png,two minutes the crowd had gone .
Datasets\IAM_Sentences\sentences\m01\m01-012\m01-012-s01-04.png,Brown's living room .
Datasets\IAM_Sentences\sentences\b03\b03-114\b03-114-s04-00.png,The only result was
Datasets\IAM_Sentences\sentences\n04\n04-156\n04-156-s05-01.png,the vestibule the two men were well
Datasets\IAM_Sentences\sentences\a03\a03-047\a03-047-s01-06.png,"politician , able to talk about sewage problems"
Datasets\IAM_Sentences\sentences\k07\k07-085\k07-085-s09-00.png,To me it 'd be immaterial whether you 'd retaliate
Datasets\IAM_Sentences\sentences\b03\b03-092\b03-092-s01-00.png,"They should not ,"
Datasets\IAM_Sentences\sentences\g06\g06-026d\g06-026d-s01-00.png,It so happens that I have
Datasets\IAM_Sentences\sentences\m01\m01-160\m01-160-s01-02.png,faces very disconcerting ; and looking at
Datasets\IAM_Sentences\sentences\a04\a04-096\a04-096-s01-03.png,Soviet Union might retaliate against
Datasets\IAM_Sentences\sentences\g04\g04-043\g04-043-s02-01.png,"chilliness of the new church , beautiful as it was and is ."
Datasets\IAM_Sentences\sentences\a01\a01-026u\a01-026u-s01-03.png,the United Federal Party and the Dominion
Datasets\IAM_Sentences\sentences\e07\e07-066\e07-066-s01-00.png,Of the dozen Spanish mantis
Datasets\IAM_Sentences\sentences\r02\r02-117\r02-117-s01-01.png,"sure you must be tired , ' his mother insisted ."
Datasets\IAM_Sentences\sentences\r06\r06-003\r06-003-s02-04.png,had firmly closed the door in our noses .
Datasets\IAM_Sentences\sentences\p02\p02-144\p02-144-s02-01.png,to the man she had spent so much time
Datasets\IAM_Sentences\sentences\p03\p03-080\p03-080-s05-00.png,""" What was he"
Datasets\IAM_Sentences\sentences\r03\r03-035\r03-035-s00-02.png,"maybe less , depending on the price of the"
Datasets\IAM_Sentences\sentences\d07\d07-100\d07-100-s00-00.png,The proof text of bringing the tithe to the Temple
Datasets\IAM_Sentences\sentences\f04\f04-004\f04-004-s00-00.png,When he learned what was causing the commotion he
Datasets\IAM_Sentences\sentences\a01\a01-087\a01-087-s00-00.png,"Mr. Brown , passionate and warm-hearted , led"
Datasets\IAM_Sentences\sentences\g06\g06-050m\g06-050m-s02-05.png,"persevering , ' but he appears to despair"
Datasets\IAM_Sentences\sentences\a01\a01-011x\a01-011x-s01-03.png,"Macleod , is insisting on a policy of change ."
Datasets\IAM_Sentences\sentences\n02\n02-157\n02-157-s02-02.png,"lower voice , his sunken black eyes twinkling ."
Datasets\IAM_Sentences\sentences\r02\r02-117\r02-117-s05-01.png,mother nodded with understanding .
Datasets\IAM_Sentences\sentences\p02\p02-076\p02-076-s01-01.png,"then caught her breath , a cold hand"
Datasets\IAM_Sentences\sentences\b04\b04-075\b04-075-s01-00.png,It is
Datasets\IAM_Sentences\sentences\c03\c03-021e\c03-021e-s00-00.png,In Fanny the pregnant girl is befriended
Datasets\IAM_Sentences\sentences\b04\b04-134\b04-134-s00-00.png,For expansion today means still greater
Datasets\IAM_Sentences\sentences\f01\f01-139\f01-139-s02-02.png,nowadays most psychologists would agree that it is
Datasets\IAM_Sentences\sentences\b04\b04-004\b04-004-s04-01.png,"Belgium , bowed down by internal"
Datasets\IAM_Sentences\sentences\c03\c03-081f\c03-081f-s00-03.png,in our minds about her if she remained a
Datasets\IAM_Sentences\sentences\h07\h07-051b\h07-051b-s01-07.png,of diverse and balanced social ...
Datasets\IAM_Sentences\sentences\g06\g06-050r\g06-050r-s01-01.png,so he described his distinguished patient and his
Datasets\IAM_Sentences\sentences\a03\a03-063\a03-063-s01-03.png,"interested in the principle of space research , but rather"
Datasets\IAM_Sentences\sentences\r03\r03-065\r03-065-s06-01.png,( British Archipelago ) Insurance Company soon
Datasets\IAM_Sentences\sentences\m04\m04-024\m04-024-s02-00.png,A nice boy of course .
Datasets\IAM_Sentences\sentences\n01\n01-052\n01-052-s03-03.png,by special helicopter from the Horse Guards
Datasets\IAM_Sentences\sentences\l03\l03-008\l03-008-s02-03.png,he threw himself across the floor
Datasets\IAM_Sentences\sentences\m01\m01-121\m01-121-s02-01.png,not have been entirely an objective suggestion
Datasets\IAM_Sentences\sentences\e04\e04-019\e04-019-s00-00.png,The amount of the backward tilt and
Datasets\IAM_Sentences\sentences\f07\f07-084a\f07-084a-s02-01.png,"a noble dish is , A sort of soup , or"
Datasets\IAM_Sentences\sentences\d06\d06-096\d06-096-s01-02.png,out for forty years I find difficult to understand .
Datasets\IAM_Sentences\sentences\d04\d04-089\d04-089-s01-00.png,Education is always the most important task .
Datasets\IAM_Sentences\sentences\g06\g06-018b\g06-018b-s01-00.png,In late
Datasets\IAM_Sentences\sentences\k07\k07-063a\k07-063a-s01-01.png,her blood-red lips parted and the beating of her
Datasets\IAM_Sentences\sentences\d06\d06-104\d06-104-s01-00.png,By this means they avoided each
Datasets\IAM_Sentences\sentences\m03\m03-110\m03-110-s00-00.png,"Sally and of course Mrs Septimus , for surely"
Datasets\IAM_Sentences\sentences\g06\g06-011h\g06-011h-s05-02.png,"the soldier - a favourable change in my eye ,"
Datasets\IAM_Sentences\sentences\h07\h07-071\h07-071-s01-01.png,part therefore local employment can
Datasets\IAM_Sentences\sentences\h07\h07-013\h07-013-s02-04.png,Welwyn .
Datasets\IAM_Sentences\sentences\m04\m04-007\m04-007-s03-04.png,Birmingham ; Price the Provisions ; and the
Datasets\IAM_Sentences\sentences\h01\h01-018\h01-018-s00-04.png,number of households with sole occupation or sharing
Datasets\IAM_Sentences\sentences\b03\b03-098\b03-098-s00-01.png,asked to help .
Datasets\IAM_Sentences\sentences\a01\a01-077u\a01-077u-s02-02.png,he did not know whether America was
Datasets\IAM_Sentences\sentences\h02\h02-017\h02-017-s00-02.png,of a number of drugs on sale to the public which
Datasets\IAM_Sentences\sentences\a01\a01-087u\a01-087u-s02-01.png,with the human issue behind the Health
Datasets\IAM_Sentences\sentences\g06\g06-037p\g06-037p-s03-03.png,themselves seventeen years before had had the
Datasets\IAM_Sentences\sentences\b06\b06-082\b06-082-s03-01.png,"clear who controls the American H-bomb , and"
Datasets\IAM_Sentences\sentences\a03\a03-009\a03-009-s00-03.png,inter-African consultative assembly which would
Datasets\IAM_Sentences\sentences\b01\b01-062\b01-062-s01-00.png,This is a difficult question .
Datasets\IAM_Sentences\sentences\d06\d06-046\d06-046-s01-02.png,tiredness - such as when your wife mentions
Datasets\IAM_Sentences\sentences\g06\g06-018b\g06-018b-s02-01.png,"me , as there has been much rain and"
Datasets\IAM_Sentences\sentences\j07\j07-012\j07-012-s01-00.png,The properties of
Datasets\IAM_Sentences\sentences\a02\a02-008\a02-008-s02-00.png,Once the Common
Datasets\IAM_Sentences\sentences\c04\c04-144\c04-144-s02-01.png,"date . """
Datasets\IAM_Sentences\sentences\g06\g06-018m\g06-018m-s02-00.png,The journey
Datasets\IAM_Sentences\sentences\b01\b01-009\b01-009-s01-00.png,He must be heard
Datasets\IAM_Sentences\sentences\a01\a01-113\a01-113-s01-00.png,They
Datasets\IAM_Sentences\sentences\c04\c04-023\c04-023-s01-01.png,variation on that sinister yarn in which half the cast
Datasets\IAM_Sentences\sentences\g06\g06-042c\g06-042c-s01-03.png,homoeopathy had been brought to his notice .
Datasets\IAM_Sentences\sentences\a05\a05-048\a05-048-s03-00.png,THE Prime Minister disclosed in the Commons
Datasets\IAM_Sentences\sentences\a03\a03-020\a03-020-s00-03.png,"Laos , yesterday addressed all officers"
Datasets\IAM_Sentences\sentences\b01\b01-089\b01-089-s01-04.png,in fighting .
Datasets\IAM_Sentences\sentences\h02\h02-004\h02-004-s00-00.png,We have held eleven meetings .
Datasets\IAM_Sentences\sentences\a05\a05-084\a05-084-s03-02.png,in the Peers' Gallery .
Datasets\IAM_Sentences\sentences\d04\d04-053\d04-053-s02-02.png,our duty ) .
Datasets\IAM_Sentences\sentences\d05\d05-040\d05-040-s03-01.png,and so was the office of a bishop .
Datasets\IAM_Sentences\sentences\d06\d06-046\d06-046-s02-03.png,her boy friend calls and go for a long walk .
Datasets\IAM_Sentences\sentences\n04\n04-031\n04-031-s06-01.png,garden !
Datasets\IAM_Sentences\sentences\b03\b03-092\b03-092-s00-00.png,Comprehensive legislation is obviously preferable .
Datasets\IAM_Sentences\sentences\g06\g06-037i\g06-037i-s02-00.png,While he was in Naples there had opened a new chapter
Datasets\IAM_Sentences\sentences\a03\a03-050\a03-050-s02-00.png,The bow tie has
Datasets\IAM_Sentences\sentences\c02\c02-089\c02-089-s00-01.png,dazzling dumbness called Troy
Datasets\IAM_Sentences\sentences\p02\p02-008\p02-008-s00-00.png,Gay went out to the waiting
Datasets\IAM_Sentences\sentences\g06\g06-045h\g06-045h-s00-05.png,himself was being treated under a doctor who
Datasets\IAM_Sentences\sentences\c06\c06-116\c06-116-s05-01.png,is an earlier essay in atmospheric
Datasets\IAM_Sentences\sentences\a01\a01-030u\a01-030u-s04-00.png,He said Britain had an obligation to consult
Datasets\IAM_Sentences\sentences\a05\a05-022\a05-022-s00-00.png,It is thought this would be the minimum
Datasets\IAM_Sentences\sentences\n04\n04-000\n04-000-s06-00.png,Peggy 's eyes filled
Datasets\IAM_Sentences\sentences\r06\r06-062\r06-062-s01-02.png,stopped .
Datasets\IAM_Sentences\sentences\c03\c03-087f\c03-087f-s01-01.png,or not the attempt succeeded if we had a
Datasets\IAM_Sentences\sentences\g07\g07-050\g07-050-s00-01.png,"production of sheer indelicacies , and that was"
Datasets\IAM_Sentences\sentences\a01\a01-003\a01-003-s00-01.png,Ps are likely to
Datasets\IAM_Sentences\sentences\g06\g06-011j\g06-011j-s05-00.png,"At Rome , every other man was a priest :"
Datasets\IAM_Sentences\sentences\g06\g06-115\g06-115-s00-03.png,headed cane to depart .
Datasets\IAM_Sentences\sentences\g06\g06-026h\g06-026h-s00-00.png,A pleasant life truly ! ...
Datasets\IAM_Sentences\sentences\b04\b04-162\b04-162-s00-00.png,"CONTRAST his firm , successful rule in Rhodesia"
Datasets\IAM_Sentences\sentences\g06\g06-042e\g06-042e-s00-00.png,"Nor is this to be wondered at , for even today , in the"
Datasets\IAM_Sentences\sentences\g06\g06-045a\g06-045a-s00-07.png,Dr. Samuel Hahnemann .
Datasets\IAM_Sentences\sentences\c04\c04-105\c04-105-s02-00.png,And such is Hal's faith that he brings him to
Datasets\IAM_Sentences\sentences\g01\g01-037\g01-037-s00-04.png,"who worked for the highest bidders , free"
Datasets\IAM_Sentences\sentences\a01\a01-043x\a01-043x-s01-00.png,PRESIDENT KENNEDY today defended
Datasets\IAM_Sentences\sentences\g06\g06-037g\g06-037g-s00-00.png,"God grant , however , that I may be a false prophet"
Datasets\IAM_Sentences\sentences\r06\r06-103\r06-103-s01-01.png,"reported her to the police , and then jumped"
Datasets\IAM_Sentences\sentences\a03\a03-073\a03-073-s01-02.png,have reached a sufficient stage of development
Datasets\IAM_Sentences\sentences\l03\l03-004\l03-004-s02-03.png,his body .
Datasets\IAM_Sentences\sentences\b06\b06-079\b06-079-s00-01.png,ment to unite the movement as the Labour
Datasets\IAM_Sentences\sentences\g06\g06-037r\g06-037r-s03-02.png,been subjected ever since the symptoms had first
Datasets\IAM_Sentences\sentences\g06\g06-050o\g06-050o-s02-00.png,He told Hahnemann that he found
Datasets\IAM_Sentences\sentences\m04\m04-019\m04-019-s03-00.png,""" You"
Datasets\IAM_Sentences\sentences\r02\r02-065\r02-065-s00-00.png,"They closed on a single bundle and , fumbling with"
Datasets\IAM_Sentences\sentences\j06\j06-022\j06-022-s00-03.png,at the surface .
Datasets\IAM_Sentences\sentences\n06\n06-100\n06-100-s09-02.png,"last night . """
Datasets\IAM_Sentences\sentences\a02\a02-062\a02-062-s03-02.png,"today , including Lord Russell , Lady Russell ,"
Datasets\IAM_Sentences\sentences\h02\h02-012\h02-012-s03-00.png,The Poisons Board had already
Datasets\IAM_Sentences\sentences\p06\p06-042\p06-042-s02-00.png,He dare not precipitate
Datasets\IAM_Sentences\sentences\l04\l04-153\l04-153-s02-00.png,' They 're bound to want pretty solid new evidence
Datasets\IAM_Sentences\sentences\c04\c04-056\c04-056-s03-02.png,cups with the dexterity of Chinese jugglers .
Datasets\IAM_Sentences\sentences\a01\a01-003\a01-003-s01-02.png,opposed the Government Bill which brought
Datasets\IAM_Sentences\sentences\a06\a06-100\a06-100-s01-01.png,"President of the Board of Trade played a conspicuous part , "" the"
Datasets\IAM_Sentences\sentences\c03\c03-007e\c03-007e-s00-00.png,In A Taste of Honey Mr. Richardson has
Datasets\IAM_Sentences\sentences\f07\f07-019a\f07-019a-s00-08.png,monstrous .
Datasets\IAM_Sentences\sentences\k04\k04-075\k04-075-s01-00.png,The
Datasets\IAM_Sentences\sentences\g06\g06-011e\g06-011e-s05-03.png,as the troops are very fine . '
Datasets\IAM_Sentences\sentences\j01\j01-045\j01-045-s02-02.png,tion before it can be realised .
Datasets\IAM_Sentences\sentences\r02\r02-003\r02-003-s01-00.png,The
Datasets\IAM_Sentences\sentences\r02\r02-109\r02-109-s01-00.png,"' What is it ,"
Datasets\IAM_Sentences\sentences\m04\m04-107\m04-107-s03-00.png,And
Datasets\IAM_Sentences\sentences\m02\m02-048\m02-048-s01-04.png,plenty of time together in the future .
Datasets\IAM_Sentences\sentences\b01\b01-084\b01-084-s03-01.png,simply on adequate support by the nations
Datasets\IAM_Sentences\sentences\r03\r03-026\r03-026-s02-00.png,For the
Datasets\IAM_Sentences\sentences\k04\k04-000\k04-000-s00-02.png,suddenly attacked by suspicion .
Datasets\IAM_Sentences\sentences\g06\g06-018e\g06-018e-s01-00.png,In late
Datasets\IAM_Sentences\sentences\c04\c04-080\c04-080-s06-01.png,days Mr. Lisbon had a record contract .
Datasets\IAM_Sentences\sentences\d05\d05-021\d05-021-s02-00.png,"It was at this time , too , that King James made"
Datasets\IAM_Sentences\sentences\d01\d01-118\d01-118-s00-00.png,Against these advantages the codex was fragile and
Datasets\IAM_Sentences\sentences\a05\a05-017\a05-017-s03-03.png,three years .
Datasets\IAM_Sentences\sentences\f07\f07-039b\f07-039b-s01-02.png,foodstuffs the traveller occasionally
Datasets\IAM_Sentences\sentences\n04\n04-092\n04-092-s06-01.png,the Courier .
Datasets\IAM_Sentences\sentences\b06\b06-019\b06-019-s02-01.png,will be 11 German divisions in Nato
Datasets\IAM_Sentences\sentences\h04\h04-052\h04-052-s00-00.png,All groups except families with four or more children
Datasets\IAM_Sentences\sentences\a04\a04-015\a04-015-s01-03.png,common purposes .
Datasets\IAM_Sentences\sentences\k04\k04-022\k04-022-s00-01.png,put Vittoria on guard .
Datasets\IAM_Sentences\sentences\b04\b04-181\b04-181-s04-01.png,it .
Datasets\IAM_Sentences\sentences\e04\e04-109\e04-109-s01-00.png,Use flat head screws
Datasets\IAM_Sentences\sentences\c04\c04-017\c04-017-s04-00.png,RONALD Lewis has just left for his first taste of the
Datasets\IAM_Sentences\sentences\a01\a01-053\a01-053-s01-01.png,Mr. Kennedy rushed a letter to Senator
Datasets\IAM_Sentences\sentences\m01\m01-125\m01-125-s04-03.png,a new and strange phenomenon .
Datasets\IAM_Sentences\sentences\k07\k07-141\k07-141-s03-00.png,He 'd learned to
Datasets\IAM_Sentences\sentences\e04\e04-000\e04-000-s00-01.png,family man or father-to-be .
Datasets\IAM_Sentences\sentences\a01\a01-003\a01-003-s01-01.png,Ps
Datasets\IAM_Sentences\sentences\m02\m02-055\m02-055-s02-02.png,"friend of hers having married Lester Peron ,"
Datasets\IAM_Sentences\sentences\e06\e06-010\e06-010-s02-02.png,in the shallower water the mile wide layers disappear from the
Datasets\IAM_Sentences\sentences\c06\c06-000\c06-000-s01-00.png,The streets
Datasets\IAM_Sentences\sentences\p03\p03-096\p03-096-s03-02.png,exactly what you were doing that
Datasets\IAM_Sentences\sentences\n06\n06-074\n06-074-s05-00.png,I paused .
Datasets\IAM_Sentences\sentences\k04\k04-033\k04-033-s01-04.png,back from Lepanto .
Datasets\IAM_Sentences\sentences\g07\g07-038\g07-038-s00-00.png,She felt almost as strongly as Hobhouse
Datasets\IAM_Sentences\sentences\b02\b02-105\b02-105-s01-03.png,many people : they too will be glad
Datasets\IAM_Sentences\sentences\g06\g06-031m\g06-031m-s04-05.png,"mass of Radicalism , & then God knows"
Datasets\IAM_Sentences\sentences\g04\g04-098\g04-098-s00-00.png,From then till now the acquaintance ripened into a very
Datasets\IAM_Sentences\sentences\g07\g07-071a\g07-071a-s00-02.png,hurt her more than this contemptuous slight
Datasets\IAM_Sentences\sentences\n06\n06-123\n06-123-s03-03.png,the horses and drank enough to cure our
Datasets\IAM_Sentences\sentences\b05\b05-067\b05-067-s02-00.png,In examination he betrayed an expert and
Datasets\IAM_Sentences\sentences\a05\a05-094\a05-094-s00-00.png,The trouble about such debates is that
Datasets\IAM_Sentences\sentences\a05\a05-004\a05-004-s02-00.png,This would apply also in the
Datasets\IAM_Sentences\sentences\g01\g01-039\g01-039-s00-00.png,"None of these classes , except the yeomen , paid or"
Datasets\IAM_Sentences\sentences\c02\c02-022\c02-022-s01-00.png,The Church rebukes the
Datasets\IAM_Sentences\sentences\a01\a01-087\a01-087-s01-00.png,"Mr. Powell , white-faced and outwardly"
Datasets\IAM_Sentences\sentences\m01\m01-026\m01-026-s04-02.png,each other through forced association .
Datasets\IAM_Sentences\sentences\g04\g04-026\g04-026-s04-00.png,"It was very amusing , and by"
Datasets\IAM_Sentences\sentences\c03\c03-081e\c03-081e-s00-04.png,"a flawed but beautiful enigma , seen but"
Datasets\IAM_Sentences\sentences\g01\g01-045\g01-045-s01-01.png,satisfactory financial system in which the
Datasets\IAM_Sentences\sentences\c02\c02-049\c02-049-s00-02.png,"Jean-Luc Godard's disappointing "" Une Femme"
Datasets\IAM_Sentences\sentences\d04\d04-066\d04-066-s03-01.png,"ne through the mill , we need not teach them"
Datasets\IAM_Sentences\sentences\f02\f02-003\f02-003-s01-02.png,"problems faced by older workers , and approached"
Datasets\IAM_Sentences\sentences\b04\b04-121\b04-121-s04-00.png,WHO can grow the
Datasets\IAM_Sentences\sentences\h04\h04-055\h04-055-s00-07.png,gradation in purchases of canned vegetables and canned
Datasets\IAM_Sentences\sentences\b06\b06-110\b06-110-s02-00.png,One area electricity board in 1958
Datasets\IAM_Sentences\sentences\p06\p06-042\p06-042-s02-01.png,what might well be another
Datasets\IAM_Sentences\sentences\d07\d07-085\d07-085-s00-03.png,already in the hands of the Redactors .
Datasets\IAM_Sentences\sentences\k07\k07-176\k07-176-s00-01.png,yourselves .
Datasets\IAM_Sentences\sentences\a01\a01-113u\a01-113u-s02-03.png,Brown reminded the hostile Government benches
Datasets\IAM_Sentences\sentences\c02\c02-078\c02-078-s01-03.png,attractive .
Datasets\IAM_Sentences\sentences\h06\h06-089\h06-089-s00-03.png,"platen , which is then caused to make"
Datasets\IAM_Sentences\sentences\c03\c03-016a\c03-016a-s02-02.png,"sordid , and when she experiences it for the"
Datasets\IAM_Sentences\sentences\g06\g06-031o\g06-031o-s04-01.png,1tho' I cannot but fear that the
Datasets\IAM_Sentences\sentences\j04\j04-061\j04-061-s00-01.png,diameter .
Datasets\IAM_Sentences\sentences\n02\n02-033\n02-033-s02-01.png,learn that he could not treat her
Datasets\IAM_Sentences\sentences\h07\h07-003\h07-003-s00-00.png,The average gross return on established industrial estates
Datasets\IAM_Sentences\sentences\c04\c04-122\c04-122-s02-01.png,tuneful melody sung impeccably by Robert Earl ( Philips ) .
Datasets\IAM_Sentences\sentences\a02\a02-078\a02-078-s01-03.png,"National Congress , which was led by Mr. Kaunda"
Datasets\IAM_Sentences\sentences\n02\n02-016\n02-016-s06-02.png,with anger against her she had no doubt .
Datasets\IAM_Sentences\sentences\g06\g06-031o\g06-031o-s03-00.png,Personally
Datasets\IAM_Sentences\sentences\a02\a02-050\a02-050-s00-01.png,the President back from his travels it might have been
Datasets\IAM_Sentences\sentences\c03\c03-016d\c03-016d-s00-01.png,intense realism in the situation .
Datasets\IAM_Sentences\sentences\g06\g06-037c\g06-037c-s02-02.png,for an effective alleviation of his painful malady .
Datasets\IAM_Sentences\sentences\n02\n02-109\n02-109-s00-00.png,"You see , it was , apparently , through a mistake"
Datasets\IAM_Sentences\sentences\d01\d01-019\d01-019-s00-00.png,There is a whole group of theories which attempt to explain the problems of the
Datasets\IAM_Sentences\sentences\p02\p02-008\p02-008-s00-01.png,"taxi , and then found that in"
Datasets\IAM_Sentences\sentences\g06\g06-047g\g06-047g-s00-01.png,Burdett described to Anglesey a year or two later as
Datasets\IAM_Sentences\sentences\b04\b04-040\b04-040-s02-01.png,"did his best for them , even driving them to a new house ."
Datasets\IAM_Sentences\sentences\c06\c06-052\c06-052-s03-00.png,IT
Datasets\IAM_Sentences\sentences\e01\e01-102\e01-102-s02-01.png,"are made of steel , composition or bone ."
Datasets\IAM_Sentences\sentences\a01\a01-091u\a01-091u-s02-00.png,Mr.
Datasets\IAM_Sentences\sentences\b04\b04-010\b04-010-s02-00.png,We have fought beside Belgium
Datasets\IAM_Sentences\sentences\d06\d06-111\d06-111-s00-04.png,done ( or must be done because of other predetermined factors
Datasets\IAM_Sentences\sentences\a06\a06-152\a06-152-s02-01.png,"speech scared 1,157 East Germans to"
Datasets\IAM_Sentences\sentences\p03\p03-040\p03-040-s01-01.png,hours .
Datasets\IAM_Sentences\sentences\e04\e04-038\e04-038-s00-01.png,if junior decides to bite the chair .
Datasets\IAM_Sentences\sentences\a02\a02-116\a02-116-s00-00.png,It was Mr. Butler who authorised action which
Datasets\IAM_Sentences\sentences\a01\a01-049u\a01-049u-s02-02.png,to Mr. Kennedy saying he had received
Datasets\IAM_Sentences\sentences\b04\b04-175\b04-175-s01-00.png,Certainly they spend more .
Datasets\IAM_Sentences\sentences\d06\d06-060\d06-060-s01-05.png,century .
Datasets\IAM_Sentences\sentences\h07\h07-063b\h07-063b-s01-03.png,"Majesty's Stationery Office at Basildon , the"
Datasets\IAM_Sentences\sentences\l04\l04-034\l04-034-s00-01.png,shoulder .
Datasets\IAM_Sentences\sentences\f04\f04-079\f04-079-s00-03.png,train which had roared through the tunnel .
Datasets\IAM_Sentences\sentences\g06\g06-037e\g06-037e-s02-00.png,While he was in Naples there had opened a new chapter in
Datasets\IAM_Sentences\sentences\c03\c03-096d\c03-096d-s01-03.png,ineffectuality with which he had endowed
Datasets\IAM_Sentences\sentences\c03\c03-084d\c03-084d-s01-04.png,theme of the destructive power of unbridled
Datasets\IAM_Sentences\sentences\n01\n01-045\n01-045-s01-00.png,The needle of the speed
Datasets\IAM_Sentences\sentences\g06\g06-047g\g06-047g-s01-00.png,"One of these was the Neapolitan ,"
Datasets\IAM_Sentences\sentences\f04\f04-064\f04-064-s00-00.png,The mere thought of subterranean travel
Datasets\IAM_Sentences\sentences\p02\p02-027\p02-027-s01-00.png,She
Datasets\IAM_Sentences\sentences\f01\f01-075\f01-075-s01-00.png,These bits were
Datasets\IAM_Sentences\sentences\h07\h07-025a\h07-025a-s01-02.png,estimated need of # about eight shops
Datasets\IAM_Sentences\sentences\c02\c02-017\c02-017-s00-01.png,"considerable fidelity , the film tells the story"
Datasets\IAM_Sentences\sentences\c02\c02-030\c02-030-s03-03.png,last days of a sick society .
Datasets\IAM_Sentences\sentences\a04\a04-081\a04-081-s00-00.png,The General Council of the Trades Union
Datasets\IAM_Sentences\sentences\a04\a04-043\a04-043-s00-01.png,defence of the Polaris missile base .
Datasets\IAM_Sentences\sentences\p03\p03-029\p03-029-s02-02.png,"evening surgery she had said ,"
Datasets\IAM_Sentences\sentences\g01\g01-031\g01-031-s01-00.png,A mediaeval tax was
Datasets\IAM_Sentences\sentences\a03\a03-006\a03-006-s01-03.png,"in the United Nations , these exchanges have not"
Datasets\IAM_Sentences\sentences\l01\l01-095\l01-095-s00-00.png,When Nick returned home he found that his
Datasets\IAM_Sentences\sentences\m01\m01-026\m01-026-s03-01.png,trying to shake-off the last traces of hypnotic after-effects .
Datasets\IAM_Sentences\sentences\c02\c02-000\c02-000-s01-00.png,The num-
Datasets\IAM_Sentences\sentences\d04\d04-086\d04-086-s00-02.png,"are used on Passover , to depict the "" time of our freedom "" ."
Datasets\IAM_Sentences\sentences\g06\g06-045n\g06-045n-s00-07.png,treated under a doctor who had
Datasets\IAM_Sentences\sentences\g03\g03-032\g03-032-s02-00.png,"Later , on many a sunny Sunday"
